ring,estimator,basin,size_class,q,n,cons_med,S_med,a_m_med,R_delta,iso_p95,medE
fixed,feret,ALL,1-2 ha,Q2,138,0.656,1.46,156.1,0.1862,0.1486,1.213
fixed,feret,ALL,1-2 ha,Q3,138,0.824,1.452,159.6,0.2031,0.1486,1.248
fixed,feret,ALL,1-2 ha,Q4,139,0.948,1.36,155.5,0.1611,0.1441,1.224
fixed,feret,ALL,>=2 ha,Q1,128,0.34,3.047,239.7,0.1063,0.1535,1.288
fixed,feret,ALL,>=2 ha,Q2,128,0.582,3.225,245.3,0.2292,0.1535,1.261
fixed,feret,ALL,>=2 ha,Q3,128,0.783,3.092,238.5,0.2449,0.1535,1.271
fixed,feret,ALL,>=2 ha,Q4,128,0.935,2.863,218.6,0.4368,0.1535,1.25
fixed,feret,CMR,all,Q1,444,0.305,0.489,96.9,0.069,0.0786,1.359
fixed,feret,CMR,all,Q2,443,0.601,0.57,108.4,0.168,0.0826,1.34
fixed,feret,CMR,all,Q3,443,0.805,0.504,103.7,0.1546,0.0826,1.367
fixed,feret,CMR,all,Q4,444,0.937,0.442,96.8,0.2583,0.0786,1.415
fixed,feret,CMR,<1 ha,Q1,309,0.292,0.289,70.2,0.0763,0.0986,1.363
fixed,feret,CMR,<1 ha,Q2,309,0.61,0.339,79.4,0.1316,0.0986,1.385
fixed,feret,CMR,<1 ha,Q3,309,0.82,0.324,78.9,0.1938,0.0986,1.402
fixed,feret,CMR,<1 ha,Q4,309,0.944,0.293,74.0,0.225,0.0986,1.437
fixed,feret,CMR,1-2 ha,Q1,73,0.34,1.38,156.2,0.1164,0.204,1.305
fixed,feret,CMR,1-2 ha,Q2,72,0.616,1.393,157.5,0.1675,0.2061,1.256
fixed,feret,CMR,1-2 ha,Q3,72,0.778,1.45,159.5,0.1284,0.2061,1.231
fixed,feret,CMR,1-2 ha,Q4,73,0.927,1.301,163.0,0.2149,0.204,1.383
fixed,feret,CMR,>=2 ha,Q1,62,0.322,2.988,250.7,0.0523,0.2222,1.343
fixed,feret,CMR,>=2 ha,Q2,62,0.538,2.911,246.6,0.1603,0.2222,1.34
fixed,feret,CMR,>=2 ha,Q3,62,0.744,3.143,256.4,0.2129,0.2222,1.361
fixed,feret,CMR,>=2 ha,Q4,62,0.919,2.825,238.6,0.501,0.2222,1.325
fixed,feret,CRR,all,Q1,355,0.36,0.699,113.3,0.061,0.0902,1.272
fixed,feret,CRR,all,Q2,354,0.666,0.594,100.0,0.1193,0.0918,1.268
fixed,feret,CRR,all,Q3,354,0.842,0.667,106.3,0.2059,0.0918,1.229
fixed,feret,CRR,all,Q4,355,0.955,0.644,109.2,0.2031,0.0902,1.224
fixed,feret,CRR,<1 ha,Q1,223,0.368,0.329,79.7,0.0138,0.1165,1.324
fixed,feret,CRR,<1 ha,Q2,222,0.666,0.289,70.0,0.095,0.1155,1.279
fixed,feret,CRR,<1 ha,Q3,222,0.843,0.354,74.4,0.1471,0.1155,1.246
fixed,feret,CRR,<1 ha,Q4,223,0.956,0.354,76.9,0.1921,0.1165,1.272
fixed,feret,CRR,1-2 ha,Q1,66,0.315,1.319,151.6,0.1363,0.2092,1.187
fixed,feret,CRR,1-2 ha,Q2,66,0.688,1.494,157.0,0.172,0.2092,1.192
fixed,feret,CRR,1-2 ha,Q3,66,0.871,1.464,155.6,0.1944,0.2092,1.182
fixed,feret,CRR,1-2 ha,Q4,66,0.963,1.394,149.5,0.2055,0.2092,1.178
fixed,feret,CRR,>=2 ha,Q1,66,0.377,3.352,231.7,0.2095,0.2092,1.194
fixed,feret,CRR,>=2 ha,Q2,66,0.618,3.227,234.5,0.2105,0.2092,1.24
fixed,feret,CRR,>=2 ha,Q3,66,0.808,3.21,229.8,0.4095,0.2092,1.226
fixed,feret,CRR,>=2 ha,Q4,66,0.941,2.925,210.8,0.3364,0.2092,1.155
scaled,moments,ALL,all,Q1,802,0.289,1.343,159.4,0.0508,0.0612,1.364
scaled,moments,ALL,all,Q2,801,0.582,0.9,131.4,0.1257,0.0602,1.303
scaled,moments,ALL,all,Q3,801,0.827,0.459,96.6,0.1957,0.0602,1.322
scaled,moments,ALL,all,Q4,802,0.97,0.219,60.1,0.1693,0.0612,1.273
scaled,moments,ALL,<1 ha,Q1,532,0.394,0.464,96.0,0.0711,0.0744,1.415
scaled,moments,ALL,<1 ha,Q2,531,0.737,0.389,87.4,0.1385,0.0747,1.354
scaled,moments,ALL,<1 ha,Q3,531,0.909,0.299,71.6,0.1644,0.0747,1.324
scaled,moments,ALL,<1 ha,Q4,532,0.982,0.194,56.5,0.1906,0.0744,1.279
scaled,moments,ALL,1-2 ha,Q1,139,0.246,1.445,156.0,0.0425,0.1441,1.212
scaled,moments,ALL,1-2 ha,Q2,138,0.479,1.41,159.9,0.1886,0.1486,1.292
scaled,moments,ALL,1-2 ha,Q3,138,0.673,1.464,158.8,0.117,0.1486,1.25
scaled,moments,ALL,1-2 ha,Q4,139,0.862,1.275,146.7,0.1748,0.1441,1.181
scaled,moments,ALL,>=2 ha,Q1,132,0.179,3.483,269.4,0.0644,0.1527,1.322
scaled,moments,ALL,>=2 ha,Q2,131,0.342,3.282,249.1,0.11,0.151,1.325
scaled,moments,ALL,>=2 ha,Q3,131,0.5,3.059,240.0,0.1144,0.151,1.268
scaled,moments,ALL,>=2 ha,Q4,132,0.698,2.86,211.0,0.3038,0.1527,1.184
scaled,moments,CMR,all,Q1,445,0.282,1.283,158.1,0.0445,0.0793,1.414
scaled,moments,CMR,all,Q2,445,0.566,0.82,131.4,0.145,0.0793,1.357
scaled,moments,CMR,all,Q3,444,0.815,0.414,90.4,0.1436,0.0786,1.385
scaled,moments,CMR,all,Q4,445,0.971,0.204,60.0,0.2114,0.0793,1.329
scaled,moments,CMR,<1 ha,Q1,309,0.38,0.464,96.9,0.0838,0.0986,1.46
scaled,moments,CMR,<1 ha,Q2,309,0.717,0.384,88.6,0.1302,0.0986,1.429
scaled,moments,CMR,<1 ha,Q3,309,0.9,0.272,71.5,0.1783,0.0986,1.375
scaled,moments,CMR,<1 ha,Q4,309,0.981,0.178,56.4,0.2381,0.0986,1.333
scaled,moments,CMR,1-2 ha,Q1,73,0.229,1.405,156.5,0.1294,0.204,1.324
scaled,moments,CMR,1-2 ha,Q2,72,0.441,1.385,160.0,0.1258,0.2061,1.333
scaled,moments,CMR,1-2 ha,Q3,72,0.631,1.46,161.0,0.0883,0.2061,1.309
scaled,moments,CMR,1-2 ha,Q4,73,0.801,1.25,150.0,0.203,0.204,1.29
scaled,moments,CMR,>=2 ha,Q1,64,0.168,3.353,270.5,0.1025,0.2145,1.32
scaled,moments,CMR,>=2 ha,Q2,63,0.31,3.146,268.4,0.0961,0.2178,1.448
scaled,moments,CMR,>=2 ha,Q3,63,0.433,3.111,252.2,0.0923,0.2178,1.532
scaled,moments,CMR,>=2 ha,Q4,63,0.639,2.775,210.1,0.246,0.2178,1.203
scaled,moments,CRR,all,Q1,357,0.301,1.459,159.6,0.1079,0.0946,1.274
scaled,moments,CRR,all,Q2,357,0.6,1.0,135.5,0.1277,0.0946,1.272
scaled,moments,CRR,all,Q3,356,0.845,0.562,99.7,0.2245,0.0899,1.236
scaled,moments,CRR,all,Q4,357,0.969,0.244,62.1,0.1273,0.0946,1.218
scaled,moments,CRR,<1 ha,Q1,223,0.412,0.459,89.4,0.0551,0.1165,1.369
scaled,moments,CRR,<1 ha,Q2,222,0.757,0.407,87.5,0.1634,0.1155,1.293
scaled,moments,CRR,<1 ha,Q3,222,0.92,0.324,72.0,0.1243,0.1155,1.25
scaled,moments,CRR,<1 ha,Q4,223,0.983,0.194,54.5,0.1574,0.1165,1.225
scaled,moments,CRR,1-2 ha,Q1,66,0.256,1.459,153.7,0.1456,0.2092,1.157
scaled,moments,CRR,1-2 ha,Q2,66,0.531,1.589,159.5,0.2943,0.2092,1.227
scaled,moments,CRR,1-2 ha,Q3,66,0.737,1.387,152.2,0.2722,0.2092,1.203
scaled,moments,CRR,1-2 ha,Q4,66,0.894,1.317,147.7,0.1347,0.2092,1.167
scaled,moments,CRR,>=2 ha,Q1,69,0.204,3.695,260.0,0.0703,0.2135,1.28
scaled,moments,CRR,>=2 ha,Q2,68,0.371,3.472,247.0,0.152,0.2094,1.252
scaled,moments,CRR,>=2 ha,Q3,68,0.559,3.202,221.4,0.2123,0.2094,1.154
scaled,moments,CRR,>=2 ha,Q4,68,0.755,2.842,210.4,0.3989,0.2094,1.18
scaled,feret,ALL,all,Q1,802,0.289,1.343,159.4,0.0548,0.0612,1.364
scaled,feret,ALL,all,Q2,801,0.582,0.9,131.4,0.1363,0.0602,1.303
scaled,feret,ALL,all,Q3,801,0.827,0.459,96.6,0.1475,0.0602,1.322
