estimator,filter,basin,size_class,n,R,mean_dir,iso_median,iso_p95,iso_p95_asymptotic,model,dBIC_next,strength,model_aic,dAIC_next,criteria_agree,BIC_VM1,BIC_VM1U,BIC_VM2,AIC_VM1,AIC_VM1U,AIC_VM2,mu1,kappa1,w1,mu2,kappa2,w2,min_dist_to_ref_deg,kappa_at_bound
feret,no filter,ALL,<1 ha,2129,0.083,2.8,0.0179,0.0376,0.0375,VM2,1121.11,strong,VM2,1138.1,True,7811.6,7820.8,6690.5,7800.3,7803.8,6662.2,143.7,2.89,0.522,48.0,3.86,0.478,13.0,False
feret,no filter,ALL,1-2 ha,555,0.1457,13.0,0.0364,0.0718,0.0735,VM2,136.19,strong,VM2,149.15,True,2029.0,2035.7,1892.8,2020.4,2022.7,1871.2,141.7,2.02,0.5,41.5,3.09,0.5,19.5,False
feret,no filter,ALL,>=2 ha,526,0.3467,23.3,0.0365,0.0773,0.0755,VM2,11.94,strong,VM2,24.73,True,1815.5,1821.8,1803.5,1807.0,1809.0,1782.2,37.1,2.2,0.576,154.7,1.04,0.424,23.9,False
feret,no filter,ALL,top_decile,321,0.4262,25.9,0.046,0.0973,0.0966,VM2,2.36,weak,VM2,13.67,True,1068.9,1074.6,1066.6,1061.4,1063.3,1047.7,37.5,2.37,0.628,159.9,1.15,0.372,23.5,False
feret,no filter,CMR,all,1779,0.0999,6.0,0.0185,0.0406,0.041,VM2,649.1,strong,VM2,665.55,True,6518.5,6527.0,5869.4,6507.6,6510.5,5842.0,142.7,2.59,0.507,45.5,3.02,0.493,15.5,False
feret,no filter,CMR,<1 ha,1236,0.078,171.4,0.0237,0.0508,0.0492,VM2,452.3,strong,VM2,462.54,True,4542.4,4375.9,3923.6,4532.2,4360.6,3898.0,142.7,3.06,0.53,47.9,3.48,0.47,13.1,False
feret,no filter,CMR,1-2 ha,290,0.132,13.0,0.0476,0.1004,0.1016,VM2,43.84,strong,VM2,51.18,True,1067.2,1045.6,1001.8,1059.8,1034.6,983.5,40.2,3.12,0.501,139.1,2.03,0.499,20.8,False
feret,no filter,CMR,>=2 ha,253,0.2681,22.9,0.0528,0.1085,0.1088,VM2,0.59,marginal,VM2,7.66,True,904.0,903.2,902.6,896.9,892.6,884.9,151.5,0.89,0.508,39.3,2.44,0.492,21.7,False
feret,no filter,CMR,top_decile,177,0.2928,22.0,0.0628,0.1273,0.1301,VM1,0.81,marginal,VM2,8.72,False,629.9,635.2,630.7,623.6,625.7,614.9,22.0,0.61,1.0,,,,39.0,False
feret,no filter,CRR,all,1431,0.174,18.3,0.0222,0.046,0.0458,VM2,358.66,strong,VM2,369.19,True,5187.2,5045.9,4687.3,5176.7,5030.1,4660.9,44.8,3.21,0.528,146.2,2.45,0.472,16.2,False
feret,no filter,CRR,<1 ha,893,0.1068,14.3,0.0287,0.0582,0.0579,VM2,487.75,strong,VM2,502.14,True,3275.6,3282.9,2787.8,3266.0,3268.5,2763.9,145.0,2.73,0.51,47.9,4.45,0.49,13.1,False
feret,no filter,CRR,1-2 ha,265,0.1606,13.1,0.0513,0.1086,0.1063,VM2,59.93,strong,VM2,70.67,True,971.5,977.1,911.5,964.3,966.4,893.6,43.1,3.09,0.5,144.6,2.1,0.5,17.9,False
feret,no filter,CRR,>=2 ha,273,0.4195,23.5,0.0506,0.1052,0.1048,VM1,3.2,weak,VM2,7.63,False,913.9,919.6,917.1,906.7,908.7,899.1,23.5,0.93,1.0,,,,37.5,False
feret,no filter,CRR,top_decile,143,0.5352,26.0,0.0694,0.1411,0.1447,VM1,4.86,weak,VM2,2.75,False,446.6,451.4,452.7,440.7,442.6,437.9,26.0,1.27,1.0,,,,35.0,False
feret,E>=1.3,ALL,all,1618,0.1658,9.5,0.0203,0.0432,0.043,VM2,320.55,strong,VM2,336.72,True,5872.6,5880.2,5552.0,5861.8,5864.0,5525.1,145.4,1.75,0.526,42.4,2.8,0.474,18.6,False
feret,E>=1.3,ALL,<1 ha,1138,0.122,1.8,0.0239,0.051,0.0513,VM2,295.62,strong,VM2,310.73,True,4163.1,4170.5,3867.5,4153.0,4155.4,3842.3,144.8,1.78,0.569,45.3,3.44,0.431,15.7,False
feret,E>=1.3,ALL,1-2 ha,238,0.1868,13.2,0.0546,0.1111,0.1122,VM2,38.02,strong,VM2,48.44,True,869.0,874.7,831.0,862.1,864.3,813.6,38.4,2.8,0.517,141.5,1.85,0.483,22.6,False
feret,E>=1.3,ALL,>=2 ha,242,0.3954,19.1,0.0547,0.1088,0.1113,VM1,3.83,weak,VM2,6.64,False,821.6,827.1,825.4,814.6,816.7,808.0,19.1,0.86,1.0,,,,41.9,False
feret,E>=1.3,ALL,top_decile,161,0.4612,19.2,0.0651,0.1341,0.1364,VM1,5.08,weak,VM1,0.62,True,529.3,534.4,539.2,523.2,525.2,523.8,19.2,1.04,1.0,,,,41.8,False
feret,E>=1.3,CMR,all,1009,0.1319,3.4,0.0256,0.0554,0.0545,VM2,211.37,strong,VM2,226.12,True,3687.4,3694.6,3476.0,3677.6,3679.9,3451.5,143.3,1.92,0.533,42.9,2.68,0.467,18.1,False
feret,E>=1.3,CMR,<1 ha,726,0.1059,174.9,0.0301,0.0639,0.0642,VM2,191.08,strong,VM2,204.85,True,2665.4,2672.6,2474.4,2656.3,2658.8,2451.4,143.1,1.99,0.563,45.4,3.12,0.437,15.6,False
feret,E>=1.3,CMR,1-2 ha,146,0.1625,11.0,0.0679,0.1431,0.1432,VM2,18.64,strong,VM2,27.59,True,538.9,543.9,520.2,532.9,535.0,505.3,38.4,2.73,0.513,140.0,1.97,0.487,22.6,False
feret,E>=1.3,CMR,>=2 ha,137,0.2923,15.2,0.0711,0.1444,0.1479,VM1,4.97,weak,VM2,1.75,False,489.5,494.4,496.5,483.6,485.7,481.9,15.2,0.61,1.0,,,,45.8,False
feret,E>=1.3,CMR,top_decile,100,0.3143,12.3,0.0836,0.1794,0.1731,VM1,4.61,weak,VM2,1.13,False,356.5,361.1,363.2,351.3,353.3,350.2,12.3,0.66,1.0,,,,48.7,False
feret,E>=1.3,CRR,all,609,0.2317,15.3,0.0337,0.0697,0.0701,VM2,93.57,strong,VM2,106.81,True,2185.1,2191.5,2091.5,2176.2,2178.3,2069.4,149.8,1.53,0.517,41.7,3.02,0.483,19.3,False
feret,E>=1.3,CRR,<1 ha,412,0.1619,9.7,0.041,0.086,0.0853,VM2,89.9,strong,VM2,101.96,True,1504.7,1510.8,1414.8,1496.7,1498.7,1394.7,147.9,1.57,0.571,45.0,3.9,0.429,16.0,False
feret,E>=1.3,CRR,1-2 ha,92,0.2269,15.8,0.0866,0.1816,0.1805,VM2,1.18,marginal,VM2,6.23,True,337.6,330.3,329.1,332.6,322.7,316.5,148.2,0.91,0.614,38.4,6.5,0.386,22.6,False
feret,E>=1.3,CRR,>=2 ha,105,0.5357,21.8,0.0826,0.1677,0.1689,VM1,4.65,weak,VM2,1.2,False,329.8,334.4,336.6,324.5,326.5,323.3,21.8,1.28,1.0,,,,39.2,False
feret,E>=1.3,CRR,top_decile,60,0.5829,19.9,0.1118,0.2259,0.2234,VM1,3.33,weak,VM2,2.95,False,183.6,187.7,187.0,179.4,181.4,176.5,19.9,1.45,1.0,,,,41.1,False
