variable,group,n,mean,std,min,q25,median,q75,max
S_ha,CMR,1779,1.0529940053729523,1.696954539661044,0.1029909195841333,0.21940618353640762,0.49940855289477387,1.2522293181766093,29.122425934037565
P_m,CMR,1779,358.10783488713304,241.3474387852883,124.07398484885586,186.8594278413318,290.06897329878524,454.33949252905643,2643.65128768509
a_m,CMR,1779,123.360549735344,83.13782486340159,37.370377925258886,61.7008303122346,100.0317966320468,156.7151546574177,700.04469013709
b_m,CMR,1779,84.89245943942599,57.70331508297557,20.004473212727635,43.40915608610787,66.77626689512877,110.94473486978549,588.0988221285222
feret_max_m,CMR,1779,132.83779339058904,86.0970438774985,43.07447574882314,69.64012802138447,108.6036092020655,165.88359675418133,738.8965591294286
Dm_m,CMR,1779,98.09000674786044,61.54360833111941,36.212168060357506,52.85419727655423,79.74125146526033,126.26900737759955,608.9320515282267
IC,CMR,1779,1.1505640978972476,0.10843631083216879,1.0237309912471682,1.080184737268905,1.1134781727183733,1.1848544970882513,1.5949313900588369
E,CMR,1779,1.5128549237306417,0.47387992226643344,1.0000000076005315,1.1640990112432203,1.368854357164234,1.7342301696212545,3.9970533412774683
theta_mom_geo,CMR,1779,84.14305615915052,54.407747701547194,0.21186527294138813,33.65956312934387,83.02762958394366,133.145838607161,179.8787609073729
theta_feret_geo,CMR,1779,93.12221546503791,51.55266885767683,3.7513632151578746,45.874780404720624,87.79995945385282,143.91600268561442,179.91415049613275
theta_mbr_geo,CMR,1779,66.22268200343602,53.77699866972965,0.8796342420316776,12.32456161622439,66.64735888595439,104.92716625262659,178.0707353720195
theta_mom_grid,CMR,1779,84.21674306376109,54.34469485102151,0.3322332953185202,34.03860234689545,83.37528292717096,133.4091065968782,179.67442707841533
theta_feret_grid,CMR,1779,93.70180456189127,51.56419036206463,0.6596652038544286,46.52872160345555,88.30155501846872,144.6180815806112,178.85097747859746
theta_mbr_grid,CMR,1779,66.90345153873797,53.77984311869522,1.710095551640391,13.02692440026641,67.27152388760766,105.7470088396635,178.70519818489535
S_ha,CRR,1431,1.3053631396781256,1.8610659242914298,0.1036853914914218,0.26397452938806854,0.6644760712771389,1.64955403195437,17.111426725617783
P_m,CRR,1431,385.48115178532584,249.61272015452076,124.05909682763196,202.85004886048364,319.70176823301085,500.33740113893384,1739.7621409303406
a_m,CRR,1431,129.81179728587708,89.66932974412097,37.36589440832789,66.95137931149443,109.1540791781563,164.36171568857054,695.1923230172588
b_m,CRR,1431,97.41299097494787,62.31886972417109,26.833379350240012,49.41580647450972,79.9965696736153,129.98972831945053,411.04014765351525
feret_max_m,CRR,1431,141.42959376723158,93.6603686361651,43.06930734100794,75.7361524530528,116.76078343184373,178.51574768810354,709.2902063228345
Dm_m,CRR,1431,109.71686597385728,67.71863583492879,36.334052988653085,57.97437442382854,91.98028106503665,144.92333819801956,466.76487843340016
IC,CRR,1431,1.1143265439635788,0.08556303258287266,1.0243256315297666,1.061505521057966,1.095515587058652,1.1298065080481932,1.577619569036409
E,CRR,1431,1.3720618231770718,0.3956843393452805,1.0000000075091815,1.0963677988851148,1.250000155962284,1.5011925955317638,3.793609267261425
theta_mom_geo,CRR,1431,79.06123248355887,55.42228004284703,0.06525698479925746,29.413039885495692,68.40439919476565,128.22984949763446,179.99562082200381
theta_feret_geo,CRR,1431,89.90560248188459,53.017809344612736,1.9629314648325589,41.98560194190572,69.67741541307767,144.47828141247922,177.82603802942216
