cubeta_id,cuenca,S_ha,P_m,a_m,b_m,feret_max_m,Dm_m,IC,E,theta_mom_geo,theta_feret_geo,theta_mbr_geo,theta_mom_grid,theta_feret_grid,theta_mbr_grid
CRR_0001,CRR,0.2039392813982081,177.17329199813022,58.378862856118126,48.848223051548615,67.42715134602338,50.957193584524525,1.1067330526589199,1.1951071954963848,34.568998275393646,43.87475614870478,1.265297881066692,35.01830992242181,44.324067795732944,1.7146095280948543
CRR_0002,CRR,3.614208367639059,708.6377927539268,218.58205316035378,211.3277098900026,245.80799252033256,214.51696941246328,1.0515084926606735,1.034327458874783,35.33835351101107,22.822562451954308,74.83232694656827,35.78413450965488,23.26834345059812,75.27810794521208
CRR_0003,CRR,1.2643825691603436,423.6064242528146,139.72570115544784,109.7838185073854,157.11932912548042,126.88033286245711,1.062718781143216,1.2727349353953121,21.92634792739559,36.31461447980487,1.2611601598488713,22.37966587891021,36.76793243131949,1.7144781113634906
CRR_0004,CRR,2.0941872878373218,598.3123652631896,192.87967445509523,167.07724715204938,219.7406116315493,163.291214367343,1.1663134579968484,1.1544341180074882,4.24689081353691,18.998549298926456,152.20931099870236,4.697366794405926,19.44902527979547,152.65978697957138
CRR_0005,CRR,0.454298759540933,252.1445560417136,90.53317402213483,63.636580937044855,90.69469279521455,76.05466098613857,1.0552950193299553,1.4226593052146934,43.659697415085176,42.85115145795224,46.27112434037019,44.102982133294276,43.29443617616134,46.71440905857929
CRR_0006,CRR,1.3343217417228932,435.92532341976766,149.15563965226647,119.99464744885363,156.8647751109834,130.34228810948065,1.0645765245875374,1.2430191081301556,162.93785365575587,163.23081854791192,1.2681863282810266,163.38404281119182,163.67700770334787,1.7143754837169671
CRR_0007,CRR,2.329204437587098,574.1415668507611,188.06694526085133,153.67182126800594,193.40637046449663,172.21019707637865,1.0612317963761086,1.2238219324078927,158.99578120151943,169.21024286185934,152.66657945799105,159.4330184170553,169.64748007739522,153.10381667352692
CRR_0008,CRR,4.064392493959537,845.4684543471257,317.59000739292554,197.7657308006032,335.4336998712985,227.48505991897696,1.1830269977776624,1.6058899896723506,26.871958930255197,24.563685639686746,46.284427534448525,27.32396524306874,25.01569195250029,46.73643384726207
CRR_0009,CRR,0.45428071185057595,253.13603447656527,79.681888658384,69.74335079176593,90.394385143098,76.05315027916943,1.0594656766679773,1.1425015826425051,171.81058545720322,140.7569204101657,1.264349080696549,172.26029629941615,141.20663125237863,1.714059922909481
CRR_0010,CRR,0.25423810398235264,191.41785324233473,57.904691187291284,52.76953930317632,65.3764727674327,56.89516743703472,1.0709203931343363,1.0973128049235379,20.843406272814473,154.84746046391857,15.302448327585257,21.291269913519265,155.29532410462335,15.75031196829005
CRR_0011,CRR,1.7742093037275204,496.02395556528484,149.83366591692058,149.50792241631444,178.91410447622707,150.2994825720607,1.0504981530107387,1.002178770832619,48.402417302291866,35.4684287397217,91.27056198054069,48.84588496319259,35.911896400622425,91.71402964144141
CRR_0012,CRR,0.9393820519160632,358.86018005063175,119.99468305388508,99.6806872852438,128.9256167329129,109.36445382819737,1.044477790263144,1.2037906872623305,18.563448585999954,22.719217663193408,1.2678023471836253,19.009719810506365,23.16548888769982,1.7140735716900355
CRR_0013,CRR,0.6242505580031951,299.7889997046755,97.70193167226017,77.69801037894062,105.96100689564496,89.15270586317946,1.070363501042755,1.2574573170633137,89.27038815363473,112.25611728943872,84.13880771317116,89.7205097987767,112.7062389345807,84.58892935831314
CRR_0014,CRR,0.6841897722509321,316.8703013689191,99.69366209183286,89.54022059751534,124.97028581626266,93.33474562740456,1.0806581073934929,1.1133953147151312,39.84724107991521,46.17142871726421,1.2725457374183597,40.28864645354928,46.61283409089829,1.7139511110524377
CRR_0015,CRR,1.669034831205586,470.3728519585602,158.26223864853932,133.2444120981085,161.8501679143324,145.77658071965226,1.0270808125127733,1.187758917289605,40.91324651861113,29.19118082291891,52.088955365595865,41.34837135362086,29.62630565792864,52.524080200605596
CRR_0016,CRR,1.6543155596014727,477.08118769926637,149.59805537760002,139.99336669819544,170.8323858402893,145.1323530421551,1.0463529004650811,1.0686081698435814,49.62371764059077,37.786145334726584,91.27021429716625,50.067269617971675,38.22969731210748,91.71376627454715
CRR_0017,CRR,0.7372643652547012,316.02706687679716,103.4383142266785,92.17065250590295,104.88115104237934,96.88726153454614,1.0382638346392163,1.1222478241656575,58.249710438909524,43.114703221789846,102.57589341300262,58.69753899813503,43.56253178101535,103.02372197222812
CRR_0018,CRR,3.0042129699975675,651.2125638222715,210.68414947984166,169.9740263102757,235.91218386867334,195.57818779728925,1.0598697094308327,1.2395079063153596,75.3663315125704,63.43789374867254,97.97379360796911,75.81592689573438,63.887489131836524,98.4233889911331
CRR_0019,CRR,2.2693153396338555,554.3896425021018,188.82065419128836,148.38955118326518,198.26255911785194,169.9818234369761,1.0381563183533273,1.2724659700472416,5.944241651635021,18.757993896085516,176.07423486575127,6.389067833693798,19.202820078144292,176.51906104781006
CRR_0020,CRR,0.12879949945042735,141.1844619569248,42.73451804468518,37.25879980140368,54.21191741309866,40.496001783185825,1.109749309500672,1.1469644291407155,143.07836274507554,151.30732473021308,109.71224578596004,143.51456705421285,151.7435290393504,110.14845009509733
CRR_0021,CRR,15.483147722200865,1605.0062118551018,671.1672266652149,320.8629246239509,680.317819603079,444.0017562677236,1.15064712562042,2.091756869235728,15.452975610785955,18.343834247193566,27.751769537866174,15.892724393355913,18.783583029763523,28.19151832043613
