cubeta_id,cuenca,dist_divide_m,slope_s50,slope_s100,slope_s200,slope_s500,slope_s1000,slope_s2000,tpi_R500,tpi_R1000,tpi_R2000,tpi_R5000,vd_ord4,vd_ord6
CRR_0001,CRR,333.9883849313735,0.0252634268254041,0.0110716484487056,0.0060351975262165,0.0077096191234886,,,-0.137178748846054,,,,0.2660693526268005,189.7872009277344
CRR_0002,CRR,490.4283785843409,0.0080414768308401,0.0209178067743778,0.0204867012798786,0.0134701384231448,0.0086593860760331,,-0.2664209902286529,-0.1936026066541671,,,0.39393150806427,189.93722534179688
CRR_0003,CRR,217.8711302316828,0.0130281364545226,0.0412124060094356,0.0354468859732151,0.0194785129278898,0.0115150837227702,,-0.1631941646337509,0.0330914370715618,,,0.5105918049812317,189.75726318359372
CRR_0004,CRR,611.2042026629342,0.0239058267325162,0.0254330988973379,0.0246637240052223,0.0181800164282321,0.0113647580146789,0.0097382199019193,-0.24769988656044,-0.1557098776102066,0.0878434106707573,,0.3650250434875488,189.97726440429688
CRR_0005,CRR,488.7663149715385,0.0301274508237838,0.0483753383159637,0.0464788600802421,0.0201653614640235,0.0095331538468599,,-0.1159029752016067,-0.0222903694957494,,,0.3277152180671692,189.7572479248047
CRR_0006,CRR,834.2434107827447,0.0648022964596748,0.0527191311120986,0.0179392099380493,0.0183768663555383,0.0103557221591472,,-0.2252027541399002,-0.1899093091487884,,,0.4717473983764648,189.98727416992188
CRR_0007,CRR,69.22121497402617,0.0306618865579366,0.0324535407125949,0.0161401219666004,,,,,,,,0.141416311264038,189.5973358154297
CRR_0008,CRR,976.2905055456262,0.0160676334053277,0.0233524423092603,0.03566799685359,0.0305798929184675,0.0161086842417716,0.0116473650559782,-0.3625978827476501,-0.3175828456878662,-0.1214755177497863,1.3515524864196775,0.6065170764923096,190.28729248046875
CRR_0009,CRR,1440.058967787725,0.018736857920885,0.0219977367669343,0.0239829421043396,0.0224161315709352,0.0159279610961675,0.0110816899687051,-0.2014731913805008,-0.275400161743164,-0.1599393188953399,1.2554030418395996,0.5556513071060181,190.29736328125
CRR_0010,CRR,1605.876315704904,0.0391590781509876,0.0282468944787979,0.0171452406793832,0.0183697994798421,0.014854647219181,0.0101596405729651,-0.2467894107103347,-0.3341397941112518,-0.225694328546524,1.1637423038482666,0.57460618019104,190.3173675537109
CRR_0011,CRR,1164.3499836635349,0.0140620563179254,0.0202659163624048,0.0273471437394619,0.0253186170011758,0.0129161002114415,0.0081275766715407,-0.608587384223938,-0.6185533404350281,-0.4834392368793487,,0.8559702634811401,190.47738647460935
CRR_0012,CRR,1457.855317740695,0.0228825584053993,0.022868713364005,0.0073614851571619,0.0183247067034244,0.0141492243856191,0.0094162430614233,-0.5348998308181763,-0.6144167184829712,-0.5019676089286804,0.8658314943313599,0.8319395780563354,190.55735778808597
CRR_0013,CRR,1711.905446366284,0.0359323434531688,0.0326753854751586,0.0198089908808469,0.0220644995570182,0.0174258388578891,0.0120446048676967,-0.2512846291065216,-0.3615285158157348,-0.2944910824298858,1.1041384935379028,0.680756688117981,190.47738647460935
CRR_0014,CRR,875.5431645072047,0.0334964171051979,0.0608320832252502,0.0498983077704906,0.0252381656318902,0.0122502502053976,0.0076202554628252,-0.228155180811882,-0.1487710773944854,-0.0063588595949113,,0.4663840532302856,189.9774475097656
